video_title,channel,author,text,likes,replies,primary,all,length,published_at
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@pillyahn1278,"주변에 이혼한 지인들이 꾀 많은 편인데 그분들 얘기 들어보면 괴로운 것보다 차라리 외로운 게 낫다고 하더군요. 외로움은 친구든, 부모든 누군가와 대화를 하면서 풀수 있는데 괴로움은 그 사람과 대화를 하면 할수록 더 커지기 때문에 지옥이라고..",3675,133,위안,위안|자기서사,135,2024-04-07
점점 혼자가 편한 이유,픽고 PICKGO,@user-chii721,"""같이가기 싫어?"" 이거 싸우자는거 아닌가 ㅋㅋㅋㅋ시비거는거 같음 (...저 T 100이어여)",3351,25,자기참조,자기참조,52,2024-02-01
혼자가 편한 사람 특징,픽고 PICKGO,@류지학-o1t,이번 편 진짜 공감된다,3302,7,정체성확인,정체성확인,12,2023-04-22
점점 혼자가 편한 이유,픽고 PICKGO,@햇살타로-h3w,"차라리 혼자가 편하긴함.. 같이있음 신경이 곤두섬 그리고 한명한명씩... 예측하는 그 눈치도 채야하고 뭔가 그 에너지소비,,, 되는거마냥... 내자신은 안챙기게되고...내시간도 허비하게되는것같아서 혼자가...되있는게 .. 좋음..",3198,4,자기참조,자기참조,128,2023-12-09
점점 혼자가 편한 이유,픽고 PICKGO,@17_luv,혼자 다니다 보면 혼자가 진짜 편함... 뭐든 처음이 어색하지 혼자 여행 한 번만 가보세요 진짜........ 너무 좋음 온전히 나한테 집중하고 내가 자고 싶은 곳 먹고 싶은 곳 가고 싶은 곳 오로지 내 취향에 맞춘 여행도 가능함,3111,41,자기서사,자기서사|자기참조,128,2024-02-15
혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@allen11745,진짜 집에 있으면 심심하다고 말하는 사람 이해가 안되더라. 집에서 할게 얼마나 많은데 ㅋㅋㅋㅋㅋ,3035,50,지식,지식|자기참조,53,2023-10-17
혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@bokhui,침대에 누워서 숨만 쉬어도 행복한 집순이... 내 집 최고....,2853,18,자기서사,자기서사|자기참조,36,2023-10-18
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@roro0-2-01,그래서 학교 다니는게 너무 괴로웠음. 단절은 편한데 고립은 너무 괴로움.,2711,3,자기서사,자기서사,40,2026-01-17
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@michi5440,"결혼하고 잘사는 사람은 서로 열렬히 사랑하는 사이가 아니라, 서로에게 원하는 게 없는 사이임. 무관심을 말하는 것이 아니라 상대에 대한 집착이 없고 상대가 바뀌길 바라는 맘이 없는 상태임. 내 마누라는 원래 저런 사람이야. 내 영감은 원래 저런 사람이야. 뭐 어쩌겠어. 그냥 사는 거지... 내가 상대의 부족함을 채워줘야 되겠다라는 맘이 있으면 더욱 좋게지만, 자칫 이런 것 마저 집착이 될 수 있고, 결과에 대한 보상 심리가 발동할 수 있어서 솔직히 필요 없음.",2584,99,자기서사,자기서사|자기참조,259,2024-04-08
나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@koreawellder,살아보니 진짜 친구는 돈인것 같습니다.,2553,97,자기서사,자기서사,21,2023-09-18
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@흑연,미안해 내가 가정교육을 틱톡으로 배워서는ㅋㅋㅋㅋ 금방 친해지겠는데,2390,5,자기참조,자기참조,36,2026-01-18
"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@bboyoung54,혼자있을때 : 편함 잘맞는 친구와 수다 : 행복과 즐거움 안맞는 사람과 대화 : 불편 괴로움,2381,20,자기참조,자기참조,51,2025-08-09
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@Sunho-oo,솔직히 잘 모르겠음. 혼자 살면서 고독사하고 싶지는 않은데 정작 왕성하게 만나면 피곤한...... 직장관계 아닌 그림커뮤니티나 사적인 친구사이로 만나면 그런 피로도가 좀 줄어들긴 하는데......,2227,33,자기서사,자기서사|자기참조,109,2026-01-17
