channel_id,channel,url,created_at,age_days,subscribers,total_views,video_count,subs_per_day,views_per_video,views_per_subscriber,upload_cadence_per_week,philosophy_score,philosophy_terms,surfaced_by,hidden_subs
UCpaF1NjcHkt2dobbOMFEWsA,침묵 속에서 단련되다,https://www.youtube.com/channel/UCpaF1NjcHkt2dobbOMFEWsA,2025-12-30,241,6150,715800,74,25.5,9673,116.4,2.1,4,철학|스토아|에픽테토스|마르쿠스 아우렐리우스,스토아 철학,false
UCvieWlqbdpbLNEQC8GMciiw,마음의페이지,https://www.youtube.com/channel/UCvieWlqbdpbLNEQC8GMciiw,2026-01-05,234,5880,680980,15,25.1,45399,115.8,0.4,2,철학|사유,쇼펜하우어,false
UCqf985IAE9PZuN-NWwFIjbA,사유의 정원,https://www.youtube.com/channel/UCqf985IAE9PZuN-NWwFIjbA,2025-12-05,265,4240,541284,138,16,3922,127.7,3.6,6,철학|인문학|사유|니체|쇼펜하우어|노자,철학 유튜브|쇼펜하우어,false
UCBcXKxxJVSCMAuxvORhga-Q,불교 철학,https://www.youtube.com/channel/UCBcXKxxJVSCMAuxvORhga-Q,2026-02-04,205,3010,179989,68,14.7,2647,59.8,2.3,3,철학|사유|불교,불교 철학,false
UCcOeC-6Hfu1q13rWdAOyF0A,몰디브조명탄,https://www.youtube.com/channel/UCcOeC-6Hfu1q13rWdAOyF0A,2025-09-29,332,4510,1148926,253,13.6,4541,254.8,5.3,4,철학|니체|쇼펜하우어|맹자,노자 도덕경,false
UCh0ToL9nugMLOoZ9htRk-IQ,황금서고,https://www.youtube.com/channel/UCh0ToL9nugMLOoZ9htRk-IQ,2026-06-02,86,1070,196652,125,12.4,1573,183.8,10.2,3,철학|인문학|맹자,동양철학,false
UCKi24WjYoTb3fvzjjmiaZew,"삼불전-지혜의 등불, 청정기도법당",https://www.youtube.com/channel/UCKi24WjYoTb3fvzjjmiaZew,2025-09-28,333,3980,283691,42,12,6755,71.3,0.9,3,철학|사유|불교,불교 철학,false
UCQRIuNQHHwmQ_es17x-VGPA,김종익,https://www.youtube.com/channel/UCQRIuNQHHwmQ_es17x-VGPA,2025-09-02,359,4230,185715,71,11.8,2616,43.9,1.4,3,철학|인문학|윤리,철학 유튜브,false
UCcl9mByyf4SOX165FQ0St2g,히든마인드,https://www.youtube.com/channel/UCcl9mByyf4SOX165FQ0St2g,2025-09-10,352,3920,1319865,127,11.1,10393,336.7,2.5,2,철학|사유,스토아 철학,false
UCicU7JxWA17zQ-T0Dz6PNUw,부처님 말씀을 전하는 불교채널 마음해부학,https://www.youtube.com/channel/UCicU7JxWA17zQ-T0Dz6PNUw,2025-11-07,294,3030,123729,70,10.3,1768,40.8,1.7,2,철학|불교,불교 철학,false
UCnD86jSUbdNP4MoNWsjKW_Q,지혜의숲과나무,https://www.youtube.com/channel/UCnD86jSUbdNP4MoNWsjKW_Q,2025-12-21,249,2120,290305,91,8.5,3190,136.9,2.6,2,철학|쇼펜하우어,니체|쇼펜하우어,false
UCTNr2sTR95N-V1Q3-BEWDRQ,부처님 품안에,https://www.youtube.com/channel/UCTNr2sTR95N-V1Q3-BEWDRQ,2025-10-30,301,1710,215272,81,5.7,2658,125.9,1.9,2,철학|불교,불교 철학,false
UCEhXYXu6X40TkbFCfYdgXcw,살아있는지혜 ᅵLIVING WISDOM,https://www.youtube.com/channel/UCEhXYXu6X40TkbFCfYdgXcw,2025-10-06,326,1770,572127,353,5.4,1621,323.2,7.6,2,철학|사유,스토아 철학|실존주의,false
